n tuplas,Tiempo de contruccion,Array Ordenado,Array Ordenado Optimizado,Heap,Heap Optimizado
32,0.00302936,0.000225203,0.000101437,8.8335e-05,7.5247e-05
32,0.00185552,8.3059e-05,7.7912e-05,9.7126e-05,5.4285e-05
32,0.0020002,7.2488e-05,7.9721e-05,6.2055e-05,0.00460475
32,0.00372506,7.5978e-05,7.3273e-05,6.0952e-05,6.2043e-05
32,0.0014623,0.000178578,7.751e-05,6.8921e-05,7.5054e-05
64,0.00337788,0.000543006,0.005851,0.0002482,0.000218989
64,0.00251769,0.00041722,0.000782267,0.00022245,0.000421669
64,0.00256387,0.000422537,0.000818249,0.000247716,0.000211466
64,0.00190358,0.000357859,0.000326018,0.000268828,0.000258176
64,0.00291245,0.000344117,0.000315673,0.000266308,0.000229817
128,0.00534908,0.00212142,0.00225165,0.00115018,0.00447494
128,0.00489444,0.00250539,0.00174495,0.0147815,0.00253166
128,0.00834864,0.00247785,0.00169932,0.00115999,0.00272402
128,0.00534129,0.00195146,0.00182042,0.000858116,0.000823033
128,0.00647253,0.00405833,0.00152725,0.000746246,0.000755642
256,0.0189508,0.011931,0.0105191,0.00297661,0.00290591
256,0.0134403,0.0150211,0.00773863,0.0113817,0.00349058
256,0.0412139,0.00764372,0.0149637,0.0046487,0.00962038
256,0.0179242,0.0184017,0.00781228,0.0239832,0.00321005
256,0.0135855,0.00861126,0.00749974,0.00423491,0.00442895
512,0.0287583,0.0402808,0.0328683,0.0143371,0.0104736
512,0.0579831,0.0415982,0.0329081,0.0170179,0.0118726
512,0.0398192,0.0469901,0.0323016,0.0125103,0.0117009
512,0.032348,0.0318399,0.0336111,0.0122699,0.0110082
512,0.0672381,0.0953675,0.0505736,0.0133128,0.0183493
1024,0.0931443,0.151179,0.145244,0.0604489,0.0516612
1024,0.0877387,0.14207,0.143629,0.0460489,0.0431627
1024,0.0732277,0.134611,0.13231,0.0436497,0.0452145
1024,0.0828209,0.131663,0.129144,0.0411639,0.0512229
1024,0.0876932,0.141762,0.143187,0.0422735,0.0442603
2048,0.241364,0.757668,0.687673,0.3001,0.198084
2048,0.196195,0.573363,0.587912,0.172118,0.190851
2048,0.233403,0.670348,0.599293,0.204318,0.155522
2048,0.199938,0.577605,0.574677,0.163644,0.158177
2048,0.282837,0.582132,0.602889,0.160832,0.164453
4096,0.852313,3.33867,2.64794,1.10257,0.778338
4096,0.870737,2.74667,2.62554,0.809957,0.693421
4096,0.825879,3.05948,3.12185,1.01135,0.838566
4096,0.753275,3.19681,2.70584,0.773987,0.701187
4096,0.668901,2.70106,2.74307,0.729977,0.740171
8192,3.00636,13.3302,12.3118,4.24534,3.62965
8192,3.41216,12.4439,11.3409,3.29156,3.25795
8192,2.4924,12.2556,12.2165,3.02771,2.91284
8192,2.71335,11.5991,11.5241,2.92116,2.84063
8192,2.48808,11.6012,11.8628,3.02802,2.87934